timestamp,id,Model,output_lange,prompt_length_chars,input_tokens,output_tokens,total_tokens,input_cost,output_cost,estimated_cost_usd,estimated_cost_thd,response_time_sec
2025-12-20T16:31:57.104132+07:00,API08,gemini-2.5-flash,en,7681,1971.0,113.0,2084.0,0.000591,0.000282,0.000874,0.03059,10.6475
2025-12-20T16:34:03.922566+07:00,API09,gemini-2.5-flash,en,9477,2377.0,242.0,2619.0,0.000713,0.000605,0.001318,0.04613,9.8821
2025-12-20T16:34:53.799653+07:00,API10,gemini-2.5-flash,en,7441,1909.0,122.0,2031.0,0.000573,0.000305,0.000878,0.03073,5.53831
2025-12-20T16:36:07.444537+07:00,API11,gemini-2.5-flash,en,9499,2380.0,251.0,2631.0,0.000714,0.000627,0.001341,0.046935,16.60139
2025-12-20T16:37:30.284056+07:00,API12,gemini-2.5-flash,en,8811,2227.0,176.0,2403.0,0.000668,0.00044,0.001108,0.03878,2.44317
2025-12-20T16:38:49.652303+07:00,API13,gemini-2.5-flash,en,8043,2054.0,163.0,2217.0,0.000616,0.000407,0.001024,0.03584,10.93868
2025-12-20T16:42:14.991426+07:00,API14,gemini-2.5-flash,en,50952,12918.0,1127.0,14045.0,0.003875,0.002818,0.006692,0.23422,52.92458
2025-12-20T16:44:09.499161+07:00,API14,gemini-2.5-flash,en,50952,12918.0,1072.0,13990.0,0.003875,0.002681,0.006555,0.229425,51.37208
2025-12-20T16:45:39.946492+07:00,API14,gemini-2.5-flash,en,50952,12918.0,1244.0,14162.0,0.003875,0.003111,0.006986,0.24451,62.43882
2025-12-20T16:46:59.375288+07:00,API14,gemini-2.5-flash,en,50952,12918.0,1113.0,14031.0,0.003875,0.002783,0.006658,0.23303,47.51602
2025-12-20T16:48:10.189033+07:00,API14,gemini-2.5-flash,en,50952,12918.0,1123.0,14041.0,0.003875,0.002807,0.006683,0.233905,43.76762
2025-12-20T17:06:54.562640+07:00,API14-2,gemini-2.5-flash,en,50952,12918.0,1096.0,14014.0,0.003875,0.00274,0.006615,0.231525,13.75578
2025-12-20T17:11:25.194602+07:00,API14-2,gemini-2.5-flash,en,50952,12918.0,1077.0,13995.0,0.003875,0.002694,0.006569,0.229915,15.15429
2025-12-20T17:11:44.762156+07:00,API14-2,gemini-2.5-flash,en,50952,12918.0,1106.0,14024.0,0.003875,0.002765,0.00664,0.2324,15.8192
2025-12-20T17:12:15.265012+07:00,API14-2,gemini-2.5-flash,en,50952,12918.0,1073.0,13991.0,0.003875,0.002683,0.006559,0.229565,12.47984
2025-12-20T17:12:31.606819+07:00,API14-2,gemini-2.5-flash,en,50952,12918.0,1185.0,14103.0,0.003875,0.002963,0.006838,0.23933,14.35738
2025-12-21T12:18:50.450846+07:00,API05,gemini-2.5-flash,-,7667,1968.0,111.0,2079.0,0.00059,0.000278,0.000868,0.03038,5.73708
2025-12-21T12:27:35.032839+07:00,API05,gemini-2.5-flash,-,7667,1968.0,117.0,2085.0,0.00059,0.000293,0.000883,0.02774386,5.05984
2025-12-21T12:28:27.190244+07:00,API05,gemini-2.5-flash,-,7667,1968.0,123.0,2091.0,0.00059,0.000308,0.000898,0.02821516,17.95023
2025-12-21T12:29:18.790663+07:00,API05,gemini-2.5-flash,-,7667,1968.0,107.0,2075.0,0.00059,0.000267,0.000858,0.02696,7.34661
2025-12-21T12:30:04.119498+07:00,API05,gemini-2.5-flash,-,7667,1968.0,113.0,2081.0,0.00059,0.000282,0.000873,0.02743,12.75218
2025-12-21T12:32:57.599523+07:00,API05,gemini-2.5-flash,-,7667,1968.0,121.0,2089.0,0.00059,0.000302,0.000893,0.02806,13.72386
2025-12-21T12:33:17.988780+07:00,API05,gemini-2.5-flash,-,7667,1968.0,117.0,2085.0,0.00059,0.000293,0.000883,0.02774,7.65597
2025-12-21T12:41:30.924389+07:00,API08,gemini-2.5-flash,en,7681,1971.0,113.0,2084.0,0.000591,0.000282,0.000874,0.03059,10.64234
2025-12-21T12:53:24.437050+07:00,API08,gemini-2.5-flash,en,7681,1971.0,112.0,2083.0,0.000591,0.00028,0.000871,0.02736682,5.90762
2025-12-21T12:59:45.052947+07:00,API05,gemini-2.5-flash,-,7667,1968.0,117.0,2085.0,0.00059,0.000293,0.000883,0.02774,8.37356
2025-12-21T13:00:10.550331+07:00,API05,gemini-2.5-flash,-,7667,1968.0,118.0,2086.0,0.00059,0.000295,0.000885,0.02781,9.54404
2025-12-21T13:02:24.149154+07:00,API08,gemini-2.5-flash,en,7681,1971.0,118.0,2089.0,0.000591,0.000295,0.000886,0.02783812,10.5791
2025-12-21T13:03:13.663076+07:00,API08,gemini-2.5-flash,en,7681,1971.0,105.0,2076.0,0.000591,0.000263,0.000854,0.02683268,5.7102
2025-12-21T13:04:27.545445+07:00,API09,gemini-2.5-flash,en,4194,968.0,228.0,1196.0,0.00029,0.00057,0.00086,0.0270212,3.96884
2025-12-21T13:05:06.259862+07:00,API09,gemini-2.5-flash,en,9477,2377.0,233.0,2610.0,0.000713,0.000583,0.001296,0.04072032,6.8175
2025-12-21T13:06:24.883838+07:00,API10,gemini-2.5-flash,en,7441,1909.0,134.0,2043.0,0.000573,0.000335,0.000908,0.02852936,5.87968
